Station ID,Date,Temperature (C),Precipitation (mm)
S405,2024-01-01,11.7,88.1
S405,2024-01-02,39.9,2.7
S405,2024-01-03,24.3,76.2
S405,2024-01-04,1.5,29.6
S405,2024-01-05,30.0,15.4
S405,2024-01-06,-2.5,17.4
S405,2024-01-07,10.7,34.6
S405,2024-01-08,-8.2,67.9
S405,2024-01-09,11.9,20.7
S405,2024-01-10,36.9,23.2
S405,2024-01-11,9.0,60.4
S405,2024-01-12,33.3,41.4
S405,2024-01-13,2.1,75.4
S405,2024-01-14,4.9,77.8
S405,2024-01-15,35.5,20.5
S405,2024-01-16,12.0,54.1
S405,2024-01-17,4.2,27.0
S405,2024-01-18,9.3,60.9
S405,2024-01-19,3.3,62.0
S405,2024-01-20,7.6,41.5
S405,2024-01-21,-5.4,10.2
S405,2024-01-22,8.5,90.1
S405,2024-01-23,-999,12.0
S405,2024-01-24,20.9,10.7
S405,2024-01-25,29.5,69.8
S405,2024-01-26,-2.6,26.8
S405,2024-01-27,17.5,98.6
S405,2024-01-28,-0.8,6.8
S405,2024-01-29,-2.1,85.8
S405,2024-01-30,28.9,71.8
S405,2024-01-31,32.3,71.4
S405,2024-02-01,37.9,61.3
S405,2024-02-02,30.9,38.7
S405,2024-02-03,15.4,86.0
S405,2024-02-04,39.0,20.1
S405,2024-02-05,-2.1,76.9
S405,2024-02-06,37.1,83.0
S405,2024-02-07,6.2,10.6
S405,2024-02-08,16.8,63.4
S405,2024-02-09,6.0,91.2
S405,2024-02-10,6.0,16.2
S405,2024-02-11,24.2,11.7
S405,2024-02-12,17.4,104.3
S405,2024-02-13,39.9,158.6
S405,2024-02-14,-2.6,73.9
S405,2024-02-15,-7.0,77.3
S405,2024-02-16,32.4,58.4
S405,2024-02-17,-0.7,43.3
S405,2024-02-18,21.3,2.6
S405,2024-02-19,14.3,196.0
S405,2024-02-20,-3.1,10.1
S405,2024-02-21,-6.1,39.2
S405,2024-02-22,15.3,29.6
S405,2024-02-23,4.5,69.0
S405,2024-02-24,-6.1,63.7
S405,2024-02-25,-6.7,40.7
S405,2024-02-26,1.5,164.8
S405,2024-02-27,17.5,85.5
S405,2024-02-28,-999,4.8
S405,2024-02-29,-9.8,183.2
S405,2024-03-01,34.0,7.6
S405,2024-03-02,12.6,78.1
S405,2024-03-03,38.9,41.6
S405,2024-03-04,-6.4,28.2
S405,2024-03-05,-3.7,37.3
S405,2024-03-06,31.8,83.4
S405,2024-03-07,-2.9,91.3
S405,2024-03-08,-3.2,10.4
S405,2024-03-09,33.4,96.2
S405,2024-03-10,39.8,181.8
S405,2024-03-11,22.6,85.6
S405,2024-03-12,11.0,62.3
S405,2024-03-13,24.2,31.6
S405,2024-03-14,24.1,168.4
S405,2024-03-15,-999,45.5
S405,2024-03-16,38.4,47.4
S405,2024-03-17,9.9,14.5
S405,2024-03-18,36.4,8.0
S405,2024-03-19,-999,48.1
S405,2024-03-20,25.2,11.9
S405,2024-03-21,21.1,96.6
S405,2024-03-22,21.7,46.6
S405,2024-03-23,19.0,9.8
S405,2024-03-24,24.9,37.8
S405,2024-03-25,-0.1,196.9
S405,2024-03-26,20.4,117.0
S405,2024-03-27,16.6,54.9
S405,2024-03-28,-999,43.4
S405,2024-03-29,37.8,192.0
S405,2024-03-30,36.9,6.0
S405,2024-03-31,12.7,89.5
S405,2024-04-01,-7.9,2.7
