Station ID,Date,Temperature (C),Precipitation (mm)
S086,2024-01-01,-1.2,94.4
S086,2024-01-02,-9.1,12.7
S086,2024-01-03,5.4,27.2
S086,2024-01-04,14.5,8.1
S086,2024-01-05,-4.4,47.2
S086,2024-01-06,11.0,131.4
S086,2024-01-07,8.0,15.7
S086,2024-01-08,-6.6,10.6
S086,2024-01-09,-0.8,51.4
S086,2024-01-10,6.7,27.4
S086,2024-01-11,16.8,72.2
S086,2024-01-12,10.7,37.4
S086,2024-01-13,9.6,87.9
S086,2024-01-14,-2.3,164.9
S086,2024-01-15,-999,57.0
S086,2024-01-16,37.0,6.9
S086,2024-01-17,37.6,12.8
S086,2024-01-18,9.9,8.0
S086,2024-01-19,24.7,151.1
S086,2024-01-20,25.6,80.6
S086,2024-01-21,16.8,30.8
S086,2024-01-22,3.8,22.6
S086,2024-01-23,11.1,66.5
S086,2024-01-24,23.1,0.4
S086,2024-01-25,31.6,97.0
S086,2024-01-26,28.0,93.1
S086,2024-01-27,13.2,11.1
S086,2024-01-28,13.4,86.6
S086,2024-01-29,12.5,13.0
S086,2024-01-30,36.5,5.5
S086,2024-01-31,-9.6,93.3
S086,2024-02-01,-6.3,45.5
S086,2024-02-02,28.8,58.3
S086,2024-02-03,-1.2,84.9
S086,2024-02-04,4.9,59.5
S086,2024-02-05,19.7,51.5
S086,2024-02-06,7.1,77.2
S086,2024-02-07,35.9,71.7
S086,2024-02-08,-3.7,93.8
S086,2024-02-09,39.9,177.2
S086,2024-02-10,-1.4,77.2
S086,2024-02-11,16.2,27.1
S086,2024-02-12,18.0,172.1
S086,2024-02-13,-5.3,108.1
S086,2024-02-14,0.7,95.7
S086,2024-02-15,21.6,53.5
S086,2024-02-16,-5.5,47.5
S086,2024-02-17,-999,8.2
S086,2024-02-18,29.6,87.4
S086,2024-02-19,-4.5,26.8
S086,2024-02-20,2.2,30.6
S086,2024-02-21,-9.1,74.9
S086,2024-02-22,7.0,6.7
S086,2024-02-23,-999,81.0
S086,2024-02-24,11.8,14.0
S086,2024-02-25,30.6,17.7
S086,2024-02-26,17.5,0.9
S086,2024-02-27,9.2,53.4
S086,2024-02-28,10.2,82.7
S086,2024-02-29,20.0,121.5
S086,2024-03-01,-4.8,44.4
S086,2024-03-02,23.1,35.6
S086,2024-03-03,25.7,70.7
S086,2024-03-04,29.4,161.7
S086,2024-03-05,1.5,153.0
S086,2024-03-06,-999,25.4
S086,2024-03-07,14.1,93.3
S086,2024-03-08,23.4,59.9
S086,2024-03-09,29.5,45.9
S086,2024-03-10,-5.1,43.4
S086,2024-03-11,37.3,13.9
S086,2024-03-12,30.7,92.2
S086,2024-03-13,19.0,166.1
S086,2024-03-14,13.0,85.3
S086,2024-03-15,17.1,88.0
S086,2024-03-16,37.9,60.8
S086,2024-03-17,22.5,49.0
S086,2024-03-18,11.3,66.4
S086,2024-03-19,21.4,75.5
S086,2024-03-20,-9.0,70.9
S086,2024-03-21,-3.6,73.2
S086,2024-03-22,-9.4,27.7
S086,2024-03-23,0.1,72.4
S086,2024-03-24,8.3,94.4
S086,2024-03-25,38.9,60.1
S086,2024-03-26,27.6,99.6
S086,2024-03-27,5.6,81.2
S086,2024-03-28,34.8,60.5
S086,2024-03-29,8.2,20.0
S086,2024-03-30,-7.9,77.2
S086,2024-03-31,2.3,150.0
S086,2024-04-01,30.7,175.7
S086,2024-04-02,25.6,50.3
S086,2024-04-03,-3.1,99.0
S086,2024-04-04,-2.6,90.2
S086,2024-04-05,35.2,84.8
S086,2024-04-06,14.8,68.5
S086,2024-04-07,-9.1,20.6
S086,2024-04-08,12.9,17.4
S086,2024-04-09,34.8,54.1
S086,2024-04-10,33.7,26.5
S086,2024-04-11,-9.3,57.0
S086,2024-04-12,21.7,75.4
S086,2024-04-13,-6.0,3.6
S086,2024-04-14,22.0,67.7
S086,2024-04-15,-999,8.7
S086,2024-04-16,-1.3,110.0
S086,2024-04-17,32.5,63.8
S086,2024-04-18,36.3,5.1
S086,2024-04-19,-999,98.0
S086,2024-04-20,-3.6,116.9
S086,2024-04-21,27.4,20.7
S086,2024-04-22,17.4,47.4
S086,2024-04-23,3.4,194.2
S086,2024-04-24,2.5,106.9
S086,2024-04-25,0.4,59.4
S086,2024-04-26,-999,10.5
S086,2024-04-27,39.8,61.3
S086,2024-04-28,36.8,97.7
S086,2024-04-29,37.6,58.9
S086,2024-04-30,1.4,24.5
S086,2024-05-01,28.2,74.7
S086,2024-05-02,-8.5,84.4
S086,2024-05-03,22.3,87.8
S086,2024-05-04,-7.8,140.9
S086,2024-05-05,-9.4,35.3
S086,2024-05-06,-6.9,198.5
S086,2024-05-07,-0.6,5.1
S086,2024-05-08,8.9,80.4
S086,2024-05-09,7.7,54.9
S086,2024-05-10,-2.4,3.2
S086,2024-05-11,-3.7,45.6
S086,2024-05-12,34.9,12.7
S086,2024-05-13,9.0,166.5
S086,2024-05-14,21.4,40.2
S086,2024-05-15,2.6,94.0
S086,2024-05-16,39.3,54.6
S086,2024-05-17,21.5,15.3
S086,2024-05-18,20.4,38.7
S086,2024-05-19,20.4,99.9
S086,2024-05-20,2.2,78.9
S086,2024-05-21,0.9,137.8
S086,2024-05-22,-4.6,40.8
S086,2024-05-23,2.7,56.7
S086,2024-05-24,18.0,14.4
S086,2024-05-25,28.6,24.5
