Station ID,Date,Temperature (C),Precipitation (mm)
S150,2024-01-01,2.6,71.1
S150,2024-01-02,3.1,137.8
S150,2024-01-03,36.6,22.0
S150,2024-01-04,35.5,90.1
S150,2024-01-05,27.0,24.5
S150,2024-01-06,6.5,70.6
S150,2024-01-07,34.8,51.3
S150,2024-01-08,32.6,144.5
S150,2024-01-09,34.2,66.5
S150,2024-01-10,39.1,41.2
S150,2024-01-11,39.4,62.1
S150,2024-01-12,11.2,58.5
S150,2024-01-13,12.8,87.9
S150,2024-01-14,-4.5,91.5
S150,2024-01-15,-0.3,23.8
S150,2024-01-16,34.5,12.4
S150,2024-01-17,31.5,24.3
S150,2024-01-18,-9.9,5.6
S150,2024-01-19,17.8,71.3
S150,2024-01-20,29.7,66.3
S150,2024-01-21,-6.4,95.1
S150,2024-01-22,1.2,40.9
S150,2024-01-23,1.6,84.6
S150,2024-01-24,-999,93.4
S150,2024-01-25,31.4,79.5
S150,2024-01-26,32.3,46.2
S150,2024-01-27,36.2,53.3
S150,2024-01-28,29.0,0.6
S150,2024-01-29,32.1,27.0
S150,2024-01-30,27.6,79.9
S150,2024-01-31,26.4,94.0
S150,2024-02-01,-8.6,166.6
S150,2024-02-02,-999,92.3
S150,2024-02-03,9.6,90.0
S150,2024-02-04,12.4,4.8
S150,2024-02-05,31.3,42.2
S150,2024-02-06,25.3,69.9
S150,2024-02-07,-6.4,14.3
S150,2024-02-08,23.0,98.8
S150,2024-02-09,-4.9,50.9
S150,2024-02-10,-999,33.3
S150,2024-02-11,39.2,5.7
S150,2024-02-12,2.2,81.0
S150,2024-02-13,-9.8,46.7
S150,2024-02-14,22.8,46.3
S150,2024-02-15,-4.0,96.3
S150,2024-02-16,8.8,21.0
S150,2024-02-17,5.8,35.6
S150,2024-02-18,20.0,93.3
S150,2024-02-19,-999,47.3
S150,2024-02-20,8.2,11.6
S150,2024-02-21,-999,19.9
S150,2024-02-22,17.7,46.4
S150,2024-02-23,-999,23.4
S150,2024-02-24,38.8,48.7
S150,2024-02-25,-1.6,27.9
S150,2024-02-26,-9.6,56.0
S150,2024-02-27,8.6,96.4
S150,2024-02-28,-999,51.8
S150,2024-02-29,26.4,24.7
S150,2024-03-01,6.0,99.1
S150,2024-03-02,-6.0,77.3
S150,2024-03-03,-3.9,14.0
S150,2024-03-04,-999,7.4
S150,2024-03-05,31.7,56.7
S150,2024-03-06,35.3,61.1
S150,2024-03-07,16.8,61.6
S150,2024-03-08,-2.7,67.8
S150,2024-03-09,9.6,189.4
S150,2024-03-10,33.3,9.0
S150,2024-03-11,19.0,37.3
S150,2024-03-12,31.9,11.8
S150,2024-03-13,5.9,57.7
S150,2024-03-14,27.4,126.2
S150,2024-03-15,34.4,54.2
S150,2024-03-16,39.6,187.6
S150,2024-03-17,38.8,83.8
S150,2024-03-18,20.4,14.3
S150,2024-03-19,4.5,42.0
S150,2024-03-20,-4.8,31.9
S150,2024-03-21,30.7,68.8
S150,2024-03-22,37.1,69.0
S150,2024-03-23,32.8,64.2
S150,2024-03-24,33.0,63.6
S150,2024-03-25,33.9,83.0
S150,2024-03-26,-999,57.3
S150,2024-03-27,18.1,70.5
S150,2024-03-28,19.9,46.6
S150,2024-03-29,10.3,46.8
S150,2024-03-30,-5.5,10.7
S150,2024-03-31,-9.0,70.0
S150,2024-04-01,0.6,87.8
S150,2024-04-02,-8.1,59.0
S150,2024-04-03,30.0,150.6
