Station ID,Date,Temperature (C),Precipitation (mm)
S004,2024-01-01,27.1,85.3
S004,2024-01-02,-0.9,61.8
S004,2024-01-03,3.6,1.9
S004,2024-01-04,-7.5,10.2
S004,2024-01-05,3.5,23.3
S004,2024-01-06,-2.5,31.2
S004,2024-01-07,30.0,79.1
S004,2024-01-08,6.5,105.6
S004,2024-01-09,28.8,19.2
S004,2024-01-10,32.1,12.2
S004,2024-01-11,28.4,44.3
S004,2024-01-12,-999,77.1
S004,2024-01-13,16.1,68.1
S004,2024-01-14,5.6,4.2
S004,2024-01-15,36.9,63.9
S004,2024-01-16,-0.1,21.8
S004,2024-01-17,-4.4,16.7
S004,2024-01-18,3.8,0.9
S004,2024-01-19,-7.9,59.6
S004,2024-01-20,8.6,9.1
S004,2024-01-21,20.9,162.5
S004,2024-01-22,-7.0,79.1
S004,2024-01-23,-3.7,178.9
S004,2024-01-24,27.8,19.3
S004,2024-01-25,24.5,89.9
S004,2024-01-26,14.3,69.7
S004,2024-01-27,-0.5,73.2
S004,2024-01-28,3.8,155.5
S004,2024-01-29,-6.6,26.3
S004,2024-01-30,-999,37.9
S004,2024-01-31,-999,77.6
S004,2024-02-01,1.9,53.9
S004,2024-02-02,9.4,55.1
S004,2024-02-03,20.7,11.0
S004,2024-02-04,16.2,13.0
S004,2024-02-05,33.7,9.9
S004,2024-02-06,18.6,52.6
S004,2024-02-07,25.1,60.6
S004,2024-02-08,-6.5,49.1
S004,2024-02-09,34.5,6.1
S004,2024-02-10,17.9,36.9
S004,2024-02-11,25.4,4.1
S004,2024-02-12,-6.5,196.1
S004,2024-02-13,-5.1,18.9
S004,2024-02-14,16.3,17.9
S004,2024-02-15,27.5,63.9
S004,2024-02-16,7.9,88.3
S004,2024-02-17,-1.7,33.8
S004,2024-02-18,-2.1,35.2
S004,2024-02-19,5.8,37.2
S004,2024-02-20,28.2,60.8
S004,2024-02-21,18.2,92.6
S004,2024-02-22,2.7,39.7
S004,2024-02-23,26.3,51.8
S004,2024-02-24,39.7,22.2
S004,2024-02-25,-999,69.0
S004,2024-02-26,3.8,92.6
S004,2024-02-27,-999,13.8
S004,2024-02-28,8.4,81.1
S004,2024-02-29,-5.4,173.4
S004,2024-03-01,26.2,82.6
S004,2024-03-02,24.5,159.5
S004,2024-03-03,5.0,7.8
S004,2024-03-04,-7.2,81.7
S004,2024-03-05,10.8,22.7
S004,2024-03-06,22.6,77.7
S004,2024-03-07,9.1,54.0
S004,2024-03-08,-2.5,5.1
S004,2024-03-09,26.6,59.5
S004,2024-03-10,15.2,39.4
S004,2024-03-11,-3.4,4.9
S004,2024-03-12,10.0,77.4
S004,2024-03-13,-3.5,48.8
S004,2024-03-14,22.6,73.6
S004,2024-03-15,2.3,32.3
S004,2024-03-16,36.2,42.4
S004,2024-03-17,7.4,2.4
S004,2024-03-18,5.2,99.0
S004,2024-03-19,12.1,81.8
S004,2024-03-20,-0.0,85.3
S004,2024-03-21,-4.4,192.7
S004,2024-03-22,33.4,69.4
S004,2024-03-23,-4.4,20.9
S004,2024-03-24,16.9,25.9
S004,2024-03-25,14.2,69.9
S004,2024-03-26,-9.1,4.3
S004,2024-03-27,-1.5,61.8
S004,2024-03-28,-7.3,38.9
S004,2024-03-29,3.6,86.4
S004,2024-03-30,-9.0,23.1
S004,2024-03-31,9.0,31.5
S004,2024-04-01,33.3,50.1
S004,2024-04-02,12.9,24.7
S004,2024-04-03,16.5,15.7
S004,2024-04-04,7.3,23.6
S004,2024-04-05,38.9,62.6
S004,2024-04-06,33.9,2.9
S004,2024-04-07,17.7,89.7
S004,2024-04-08,22.8,96.1
S004,2024-04-09,20.6,24.0
S004,2024-04-10,-2.4,132.9
S004,2024-04-11,17.1,54.1
S004,2024-04-12,30.0,70.5
S004,2024-04-13,16.2,197.6
S004,2024-04-14,-2.7,131.7
S004,2024-04-15,17.9,31.8
S004,2024-04-16,34.0,88.0
S004,2024-04-17,10.7,93.4
S004,2024-04-18,34.7,77.9
S004,2024-04-19,-4.7,61.2
S004,2024-04-20,3.3,23.2
S004,2024-04-21,24.4,47.7
S004,2024-04-22,15.1,37.4
S004,2024-04-23,32.6,19.3
S004,2024-04-24,-8.4,27.0
S004,2024-04-25,10.7,175.8
S004,2024-04-26,-6.7,186.7
S004,2024-04-27,14.5,24.7
S004,2024-04-28,-999,38.0
S004,2024-04-29,5.6,59.4
S004,2024-04-30,16.3,52.1
S004,2024-05-01,12.6,99.6
S004,2024-05-02,15.9,55.8
S004,2024-05-03,15.8,29.1
S004,2024-05-04,9.9,46.1
S004,2024-05-05,11.1,51.7
S004,2024-05-06,-2.9,72.3
S004,2024-05-07,-4.3,169.6
S004,2024-05-08,-3.2,17.9
S004,2024-05-09,19.5,45.5
S004,2024-05-10,2.5,179.6
S004,2024-05-11,25.9,44.9
S004,2024-05-12,8.1,79.1
S004,2024-05-13,15.6,38.1
S004,2024-05-14,28.4,66.0
S004,2024-05-15,-2.5,71.2
S004,2024-05-16,11.0,44.6
S004,2024-05-17,21.3,20.3
S004,2024-05-18,21.1,85.5
S004,2024-05-19,-999,23.8
S004,2024-05-20,19.4,7.9
S004,2024-05-21,20.0,62.0
S004,2024-05-22,17.9,14.8
S004,2024-05-23,-999,66.7
S004,2024-05-24,31.9,104.9
S004,2024-05-25,10.8,61.1
S004,2024-05-26,24.6,17.7
S004,2024-05-27,12.8,109.3
S004,2024-05-28,5.0,6.8
S004,2024-05-29,11.4,13.5
S004,2024-05-30,24.7,52.5
S004,2024-05-31,24.8,73.0
S004,2024-06-01,21.4,68.9
S004,2024-06-02,36.7,60.9
S004,2024-06-03,5.8,135.4
S004,2024-06-04,-3.5,63.2
S004,2024-06-05,14.6,70.9
S004,2024-06-06,-999,62.5
S004,2024-06-07,-4.1,99.9
S004,2024-06-08,10.7,63.8
S004,2024-06-09,-9.4,79.0
