Station ID,Date,Temperature (C),Precipitation (mm)
S005,2024-01-01,-3.4,26.0
S005,2024-01-02,14.2,4.7
S005,2024-01-03,7.7,92.4
S005,2024-01-04,25.6,183.9
S005,2024-01-05,24.6,23.8
S005,2024-01-06,-7.9,26.0
S005,2024-01-07,-0.8,31.7
S005,2024-01-08,7.2,16.3
S005,2024-01-09,5.1,49.9
S005,2024-01-10,-2.7,0.4
S005,2024-01-11,26.9,70.5
S005,2024-01-12,13.7,198.1
S005,2024-01-13,18.7,90.7
S005,2024-01-14,12.1,90.0
S005,2024-01-15,-3.0,40.2
S005,2024-01-16,32.0,5.5
S005,2024-01-17,22.1,93.6
S005,2024-01-18,-999,44.5
S005,2024-01-19,23.6,19.4
S005,2024-01-20,5.9,190.8
S005,2024-01-21,8.1,37.0
S005,2024-01-22,8.6,97.8
S005,2024-01-23,33.7,44.4
S005,2024-01-24,39.6,80.6
S005,2024-01-25,38.5,14.0
S005,2024-01-26,19.4,47.5
S005,2024-01-27,33.4,96.0
S005,2024-01-28,27.8,91.4
S005,2024-01-29,10.7,75.5
S005,2024-01-30,-3.2,55.4
S005,2024-01-31,-7.9,30.4
S005,2024-02-01,18.0,0.2
S005,2024-02-02,3.1,47.3
S005,2024-02-03,22.7,49.2
S005,2024-02-04,24.4,27.7
S005,2024-02-05,39.7,58.1
S005,2024-02-06,18.3,47.6
S005,2024-02-07,24.7,57.5
S005,2024-02-08,32.3,32.0
S005,2024-02-09,33.9,27.3
S005,2024-02-10,11.0,29.0
S005,2024-02-11,16.5,76.6
S005,2024-02-12,-0.8,54.4
S005,2024-02-13,33.6,30.1
S005,2024-02-14,24.3,58.0
S005,2024-02-15,-999,37.3
S005,2024-02-16,14.2,110.2
S005,2024-02-17,-2.3,89.7
S005,2024-02-18,20.7,53.2
S005,2024-02-19,17.6,46.0
S005,2024-02-20,-6.2,148.0
S005,2024-02-21,5.6,89.0
S005,2024-02-22,19.9,71.0
S005,2024-02-23,-8.6,85.7
S005,2024-02-24,-2.9,13.0
S005,2024-02-25,-6.1,7.8
S005,2024-02-26,28.7,10.8
S005,2024-02-27,29.7,11.9
S005,2024-02-28,2.7,75.5
S005,2024-02-29,29.1,90.1
S005,2024-03-01,-0.8,84.6
S005,2024-03-02,37.1,16.1
S005,2024-03-03,15.0,57.0
S005,2024-03-04,-5.0,21.7
S005,2024-03-05,-0.4,153.7
S005,2024-03-06,38.7,50.4
S005,2024-03-07,25.4,44.0
S005,2024-03-08,37.9,38.0
S005,2024-03-09,0.7,98.5
S005,2024-03-10,-3.8,76.2
S005,2024-03-11,25.2,32.8
S005,2024-03-12,-4.2,31.2
S005,2024-03-13,38.8,29.1
